NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Portão eletrônico,Área murada,LATITUDE,LONGITUDE
Alugo apto 3 quartos Green Village Itacorubi ,4500.0,Apartamento padrão,90,3,2,2,1300,105,Rua Antônio Costa,Florianópolis,Itacorubi,88034070,15.0,1161931033,26/03 às 22:25,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-apto-3-quartos-green-village-itacorubi-1161931033,15705,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-27.5801316,-48.5105497
Apartamento SAO JOSE SC,2500.0,Apartamento padrão,92,3,1,2,0,80,Rua Antenor Valentin da Silva (Loteamento Jardim das Acácias),São José,Ipiranga,88111340,17.0,1151502106,26/03 às 22:26,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-sao-jose-sc-1151502106,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cobertura Duplex em Jurere Internacional.,899.0,Apartamento cobertura,76,2,2,1,500,0,Avenida das Raias,Florianópolis,Jurerê Internacional,88053400,0.0,1148045331,26/03 às 20:11,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-duplex-em-jurere-internacional-1148045331,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.4464171,-48.5017399
Apartamento para aluguel tem 68 metros quadrados com 2 quartos em Canasvieiras - Florianóp,2500.0,Apartamento padrão,68,2,2,1,0,0,Rua Manoel Mancellos Moura,Florianópolis,Canasvieiras,88054030,18.0,1159416419,26/03 às 20:05,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-tem-68-metros-quadrados-com-2-quartos-em-canasvieiras-florianop-1159416419,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-27.4286832,-48.4566122
Casa para aluguel e venda com 400 metros quadrados com 4 quartos..,25000.0,Casa em rua pública,400,4,5 ou mais,3,0,300,Rua dos Amborés,Florianópolis,Jurerê Internacional,88053430,20.0,1025809583,26/03 às 16:57,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-e-venda-com-400-metros-quadrados-com-4-quartos-1025809583,300,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-27.4403203,-48.5040797
"Apartamento com 4 suítes, 256 m² - venda por R$ 4.200.000 ou aluguel por R$ 18.000/mês - C",18000.0,Apartamento padrão,256,4,5 ou mais,4,2800,750,Rua Padre Clemente,Florianópolis,Centro,88015350,20.0,1087019169,26/03 às 12:27,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-4-suites-256-m-venda-por-r-4-200-000-ou-aluguel-por-r-18-000-mes-c-1087019169,34350,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,-27.5890727,-48.5493293
Apartamento - Palhoça SC,2500.0,Apartamento padrão,67,2,2,1,350,0,Rua das Cegonhas,Palhoça,Pedra Branca,88137260,20.0,1149048067,26/03 às 12:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-palhoca-sc-1149048067,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6263228,-48.6779887
"Ótimo Apartamento para locação em Forquilinhas, São José",1900.0,Apartamento padrão,70,2,2,1,325,100,Rua Humberto Anibal Climaco,São José,Forquilhinha,88106509,17.0,1156156351,26/03 às 12:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/otimo-apartamento-para-locacao-em-forquilinhas-sao-jose-1156156351,4000,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,-27.602189,-48.6364049
"Apartamento para Aluguel - Trindade, 1 Quarto,  50 m2",2230.0,Apartamento padrão,50,1,1,1,276,125,Rua Oge Fortkamp,Florianópolis,Trindade,88036610,19.0,1164099847,26/03 às 09:44,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-trindade-1-quarto-50-m2-1164099847,3437,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-27.5945462,-48.522571
"Apartamento com 3 dormitórios para alugar, 105 m² por R$ 12.000,00/mês - Jurerê - Florianó",8800.0,Apartamento padrão,105,3,3,2,850,2350,Rua dos Chernes,Florianópolis,Jurerê,88053545,20.0,1121814774,26/03 às 09:54,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-para-alugar-105-m-por-r-12-000-00-mes-jurere-floriano-1121814774,12550,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,-27.4422365,-48.4904577
FLORIANóPOLIS - Apartamento Padrão - Itacorubi,2800.0,Apartamento padrão,70,2,1,1,510,1270,Rua Pastor William Richard Schisler Filho,Florianópolis,Itacorubi,88034100,20.0,1148896332,26/03 às 09:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-itacorubi-1148896332,7390,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-27.5763668,-48.5110631
"APARTAMENTO RESIDENCIAL em Florianópolis - SC, Canasvieiras",550.0,Apartamento padrão,67,2,1,2,0,0,Rua Doutor Antônio Prudente de Moraes,Florianópolis,Canasvieiras,88054220,13.0,1010694130,25/03 às 22:48,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-residencial-em-florianopolis-sc-canasvieiras-1010694130,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"APARTAMENTO TEMPORADA em florianópolis - SC, ingleses",400.0,Apartamento padrão,78,2,2,1,0,0,Rodovia Armando Calil Bulos,Florianópolis,Vargem Grande,88058000,20.0,1153524315,25/03 às 22:51,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-temporada-em-florianopolis-sc-ingleses-1153524315,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,-27.4526406,-48.4518555
"Apartamento com 3 quartos no bairro capoeiras em florianópolis, 97m²",2850.0,Apartamento padrão,97,3,2,1,270,122,Avenida Vereador Nagib Jabor,Florianópolis,Capoeiras,88090100,21.0,1149508252,25/03 às 22:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-quartos-no-bairro-capoeiras-em-florianopolis-97m-1149508252,3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.5924809,-48.5938782
"Casa com 7 dormitórios para alugar, 1000 m² por R$ 60.000,00/mês - Jurerê Internacional - ",60000.0,Casa em condominio fechado,1000,5 ou mais,5 ou mais,5 ou mais,0,0,Avenida dos Búzios - até 1399/1400,Florianópolis,Jurerê Internacional,88053300,20.0,1114871274,25/03 às 19:57,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-7-dormitorios-para-alugar-1000-m-por-r-60-000-00-mes-jurere-internacional-1114871274,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,,
APARTAMENTO 3 SUITES PARA LOCAÇÃO,12500.0,Apartamento padrão,271,3,5 ou mais,4,1200,1390,Rua Professor Luiz Sanches Bezerra da Trindade,Florianópolis,Centro,88015160,20.0,1144182571,25/03 às 16:57,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-3-suites-para-locacao-1144182571,15790,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,-27.5905258,-48.5546982
Casa - Palhoça SC,1500.0,Casa em rua pública,60,2,1,1,0,12,Rua Faial,Palhoça,São Sebastião,88136555,0.0,1163979816,25/03 às 17:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-palhoca-sc-1163979816,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6423071,-48.7205007
"Casa para alugar, 440 m² por R$ 13.825,00/mês - João Paulo - Florianópolis/SC",13500.0,Casa em rua pública,440,3,4,4,0,325,Rua Doutor Celso Nicodemus Lopes,Florianópolis,João Paulo,88030357,20.0,1058935691,25/03 às 13:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-alugar-440-m-por-r-13-825-00-mes-joao-paulo-florianopolis-sc-1058935691,325,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,
"APARTAMENTO RESIDENCIAL em Florianópolis - SC, Canasvieiras",600.0,Apartamento padrão,75,2,2,1,0,0,Avenida Professor Milton Leite da Costa,Florianópolis,Canasvieiras,88054230,10.0,1010686265,25/03 às 10:38,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-residencial-em-florianopolis-sc-canasvieiras-1010686265,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.4288382,-48.4604803
Locação Anual - 300 mta Mar  - Apto mobiliado - 1 dormitório,1750.0,Apartamento padrão,50,1,1,1,300,60,Estrada Vereador Onildo Lemos,Florianópolis,Ingleses do Rio Vermelho,88058700,0.0,1163925480,25/03 às 14:00,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/locacao-anual-300-mta-mar-apto-mobiliado-1-dormitorio-1163925480,3660,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,-27.4530418,-48.3803642
Casa Residencial Jurerê Internacional,8000.0,Casa em rua pública,450,5 ou mais,5 ou mais,5 ou mais,0,0,Avenida dos Búzios - até 1399/1400,Florianópolis,Jurerê Internacional,88053300,20.0,985998097,25/03 às 10:45,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-jurere-internacional-985998097,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,,
Apartamento para locação anual.,3200.0,Apartamento padrão,75,2,2,2,478,0,Rua dos Canudos,Florianópolis,Ingleses do Rio Vermelho,88058560,21.0,1163788578,25/03 às 07:19,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-locacao-anual-1163788578,5736,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-27.4265011,-48.400688
Apartamento para aluguel tem 90 metros quadrados com 3 quartos..,8500.0,Apartamento padrão,90,3,2,2,750,200,Rua Dario João de Souza,Florianópolis,Jurerê,88053760,20.0,1163790837,25/03 às 07:37,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-tem-90-metros-quadrados-com-3-quartos-1163790837,9200,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,-27.4450666,-48.4869811
"Córrego Grande | Apartamento 3 quartos, sendo 1 suite",4000.0,Apartamento padrão,92,3,2,1,627,1080,Rua João Pio Duarte Silva - de 1181/1182 ao fim,Florianópolis,Córrego Grande,88037001,20.0,1163737726,24/03 às 23:23,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/corrego-grande-apartamento-3-quartos-sendo-1-suite-1163737726,8604,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,
"Apartamento com 2 dormitórios para alugar, 54 m² por R$ 2.516,41/mês - Campeche - Florianó",2300.0,Apartamento padrão,54,2,1,1,0,30,Rua Fidélis Govoni,Florianópolis,Campeche,88066050,13.0,1163738162,24/03 às 23:25,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-para-alugar-54-m-por-r-2-516-41-mes-campeche-floriano-1163738162,30,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,
Apartamento para Aluguel Apartamento de 2 dormitórios com garagem no Abraão. FLORIANOPOLIS,1600.0,Apartamento padrão,65,2,1,1,440,98,Rua Campolino Alves - de 788/789 ao fim,Florianópolis,Abraão,88085155,11.0,1160865987,24/03 às 21:40,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-apartamento-de-2-dormitorios-com-garagem-no-abraao-florianopolis-1160865987,5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Aluguel de Temporada! Magnífica casa de 04 Suítes, decoração moderna, e ampla área de laze",4000.0,Casa em rua pública,464,5 ou mais,5 ou mais,5 ou mais,0,0,Rua dos Cações - até 532/533,Florianópolis,Jurerê Internacional,88053475,20.0,983370236,24/03 às 19:40,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-temporada-magnifica-casa-de-04-suites-decoracao-moderna-e-ampla-area-de-laze-983370236,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,,
"Apartamento com 1 dormitório para alugar, 18 m² por R$ 1.550,02/mês - Ingleses - Florianóp",1550.0,Apartamento padrão,18,1,1,1,0,0,Servidão Fermino Manoel Zeferino,Florianópolis,Ingleses do Rio Vermelho,88058702,12.0,1156164016,24/03 às 16:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-1-dormitorio-para-alugar-18-m-por-r-1-550-02-mes-ingleses-florianop-1156164016,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-27.444084,-48.3762639
Studio singular com vista para ponte Hercílio Luz!,4200.0,Apartamento padrão,51,1,1,1,421,0,Rua Felipe Schmidt - de 350/351 a 979/980,Florianópolis,Centro,88010001,20.0,1163622019,24/03 às 16:37,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/studio-singular-com-vista-para-ponte-hercilio-luz-1163622019,5052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Casa residencial bairro pantanal em florianópolis,6200.0,Casa em rua pública,140,3,2,3,0,55,Rua Vereador Frederico Veras,Florianópolis,Pantanal,88040200,20.0,1112681887,24/03 às 16:43,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-bairro-pantanal-em-florianopolis-1112681887,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.6089222,-48.5168947
Apartamento para alugar no bairro Centro - Tubarão/SC,1500.0,Apartamento padrão,160,3,2,1,0,125,Rua Rui Barbosa - até 608/609,Tubarão,Centro,88701600,17.0,1148088079,24/03 às 16:52,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-alugar-no-bairro-centro-tubarao-sc-1148088079,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Aluguel anual, perfeito para home office, lindo apartamento 2d com suíte completo a 400 me",4990.0,Apartamento padrão,72,2,2,2,474,1,Servidão Pedro Edmundo Bittencourt,Florianópolis,Rio Tavares,88048379,20.0,1144473852,24/03 às 16:55,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-anual-perfeito-para-home-office-lindo-apartamento-2d-com-suite-completo-a-400-me-1144473852,5689,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-27.6518292,-48.4776959
"Estreito | Apartamento 2 quartos, sendo 2 suites",4000.0,Apartamento padrão,95,2,5 ou mais,2,600,0,Rua Euclides Machado,Florianópolis,Canto,88070720,20.0,1088224750,24/03 às 16:59,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/estreito-apartamento-2-quartos-sendo-2-suites-1088224750,7200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-27.5876362,-48.5828441
Aluguel | Apartamento 3 dormitórios (1 suíte),6000.0,Apartamento padrão,101,3,2,2,1000,263,Rua Salvatina Feliciana dos Santos,Florianópolis,Itacorubi,88034600,20.0,1140669767,24/03 às 17:00,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-apartamento-3-dormitorios-1-suite-1140669767,12263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-27.5919535,-48.4922007
"PRAIA DO SONHO, PALHOÇA-SC, CASA ACONCHEGANTE, ALUGUEL DE TEMPORADA",800.0,Casa em rua pública,80,2,2,1,0,0,Rua Pica-Pau,Palhoça,Praia do Sonho,88139144,14.0,1112725136,24/03 às 17:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/praia-do-sonho-palhoca-sc-casa-aconchegante-aluguel-de-temporada-1112725136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.8398111,-48.5912872
"Apartamento para alugar, 3 dormitórios sendo 1 suíte, Campeche, FLORIANÓPOLIS SC",8000.0,Apartamento padrão,115,3,2,1,752,200,Rua Radialista Dakir Polidoro,Florianópolis,Campeche,88063565,20.0,1145731054,24/03 às 17:07,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-alugar-3-dormitorios-sendo-1-suite-campeche-florianopolis-sc-1145731054,9224,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,-27.6725051,-48.4809055
Casa a Venda no Amoraeville,40000.0,Casa em rua pública,850,5 ou mais,5 ou mais,3,0,5000,Rua das Baúnas,Florianópolis,Jurerê Internacional,88053407,20.0,1163634322,24/03 às 17:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-no-amoraeville-1163634322,5000,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-27.4475173,-48.5004854
SãO JOSé - Apartamento Padrão - Campinas,2400.0,Apartamento padrão,100,3,2,1,655,97,Avenida Governador Adolfo Konder,São José,Campinas,88101400,2.0,1163637788,24/03 às 17:16,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-campinas-1163637788,7957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,
SãO JOSé - Apartamento Padrão - Areias,1000.0,Apartamento padrão,31,1,1,1,0,0,Rua Maria de Lurdes Vieira de Oliveira,São José,Areias,88113875,16.0,1163637809,24/03 às 17:16,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-areias-1163637809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.5584029,-48.6347122
Casa de Temporada em Jurerê Internacional,4200.0,Casa em rua pública,200,4,3,4,0,0,Rua dos Arenques,Florianópolis,Jurerê Internacional,88053462,14.0,1094624388,24/03 às 17:20,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-de-temporada-em-jurere-internacional-1094624388,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-27.4391598,-48.5081732
Apartamento duplex aluguel anual em Jurerê,15000.0,Apartamento duplex/triplex,147,2,3,3,800,3500,Rua das Piraúnas,Florianópolis,Jurerê Internacional,88053418,13.0,1163640745,24/03 às 17:21,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-duplex-aluguel-anual-em-jurere-1163640745,13100,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-27.4431121,-48.4970292
Venda | Apartamento 1 suíte + 1vg e hb,5000.0,Apartamento padrão,55,1,2,1,0,0,Rua das Camélias,Florianópolis,Carvoeira,88040530,20.0,1137557068,24/03 às 17:36,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/venda-apartamento-1-suite-1vg-e-hb-1137557068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-27.6047066,-48.5264476
Aluguel mensal ou diária em Jurerê internacional,1500.0,Casa em rua pública,180,5 ou mais,3,2,0,0,Rua das Palombetas,Florianópolis,Jurerê Internacional,88053424,20.0,970334689,24/03 às 17:45,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-mensal-ou-diaria-em-jurere-internacional-970334689,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-27.4409074,-48.4988405
"APARTAMENTO TEMPORADA em Florianópolis - SC, Canasvieiras",400.0,Apartamento padrão,42,1,1,1,0,0,Rua Antenor Borges,Florianópolis,Canasvieiras,88054070,9.0,1010699354,24/03 às 18:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-temporada-em-florianopolis-sc-canasvieiras-1010699354,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-27.4264917,-48.4504742
JAY JURERE INTERNACIONAL,500.0,Apartamento padrão,100,2,2,2,0,0,Avenida dos Búzios - de 1401/1402 ao fim,Florianópolis,Jurerê Internacional,88053301,20.0,995263910,24/03 às 18:06,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/jay-jurere-internacional-995263910,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,,
"APARTAMENTO TEMPORADA em FLORIANÓPOLIS - SC, PRAIA DA CACHOEIRA DO BOM JESUS",550.0,Apartamento padrão,78,2,2,1,0,0,Rua Fernando Osvaldo de Oliveira,Florianópolis,Cachoeira do Bom Jesus,88056130,17.0,1034446823,24/03 às 18:07,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-temporada-em-florianopolis-sc-praia-da-cachoeira-do-bom-jesus-1034446823,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-27.4236361,-48.438685
FLORIANOPOLIS - Apartamento Padrão - CANAJURE,24000.0,Apartamento cobertura,517,4,5 ou mais,2,2300,500,Rodovia Tertuliano Brito Xavier - até 2421/2422,Florianópolis,Canasvieiras,88054600,20.0,1139042567,24/03 às 18:09,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-canajure-1139042567,28100,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,,
MARAVILHOSA RESIDÊNCIA COM PÁTIO / 02 DORM / ESTAC,2200.0,Casa em rua pública,58,2,1,1,0,110,Rua São Benedito,São José,Serraria,88115160,0.0,1163660006,24/03 às 18:19,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/maravilhosa-residencia-com-patio-02-dorm-estac-1163660006,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5442216,-48.6261369
"Apartamento para aluguel e venda tem 67 metros quadrados com 2 quartos, Direto com a const",4241.0,Apartamento padrão,67,2,3,1,0,0,Rua Orlando Odilio Koerich,Florianópolis,Jardim Atlântico,88095152,21.0,1056798097,24/03 às 18:20,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-e-venda-tem-67-metros-quadrados-com-2-quartos-direto-com-a-const-1056798097,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,-27.5812989,-48.5923736
