,NOME,VALOR,AREA,CATEGORIA,TIPO,QUARTOS,BANHEIROS,VAGAS,DETALHES_IMOVEL,DETALHES_CONDO,PARCELA1,ENTRADA,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,CIDADE,CEP,link
21,Casa em area nobre de Florianopolis- bairro Joao Paulo,3.500.000,670,Casas,Venda - casa em rua pública,5 ou mais,5 ou mais,5 ou mais,88030300,Florianópolis,29.519,700.000,0,0,20.0,24/01,Rodovia João Paulo - até 1499/1500,João Paulo,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-em-area-nobre-de-florianopolis-bairro-joao-paulo-988217534
22,"Lançamento Apartamento / Studio à venda, Hobbybox, Sacada c/ Churrasq /GCR.",508.000,44,Apartamentos,Venda - apartamento padrão,1,1,1,"Academia, Churrasqueira, Piscina","Elevador, Academia, Piscina, Salão de festas",4.310,101.600,0,0,19.0,24/01,Governador Celso Ramos,88190000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/lancamento-apartamento-studio-a-venda-hobbybox-sacada-c-churrasq-gcr-1093024577
23,Apartamento Mobiliado 02 Quartos  em Areias - São José - SC,300.000,58,Apartamentos,Venda - apartamento padrão,2,1,1,"Ar condicionado, Mobiliado, Varanda","Condomínio fechado, Permitido animais",2.555,60.000,280,450,18.0,24/01,São José,88113842,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-mobiliado-02-quartos-em-areias-sao-jose-sc-989208560
24,Sobrado  3 dormitórios Alto Padrão no Portal da Colina,550.000,110,Casas,Venda - casa em rua pública,3,3,4,Permitido animais,88122003,4.664,110.000,0,1.000,20.0,24/01,Sertão do Maruim,São José,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sobrado-3-dormitorios-alto-padrao-no-portal-da-colina-1080904304
25,Ótimo apartamento térreo com 1 dormitório - Campeche,245.000,34,Apartamentos,Venda - apartamento padrão,1,1,1,"Área de serviço, Churrasqueira",88066035,2.091,49.000,0,0,11.0,24/01,Campeche,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/otimo-apartamento-terreo-com-1-dormitorio-campeche-1127257239
26,"Apartamento com 3 dormitórios à venda, 236 m² por R$ 3.500.000,00 - Centro - Florianópolis",3.500.000,237,Apartamentos,Venda - apartamento padrão,3,5 ou mais,3,"Churrasqueira, Piscina","Condomínio fechado, Piscina",29.519,700.000,2.300,7.435,3.0,24/01,Florianópolis,88025053,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-236-m-por-r-3-500-000-00-centro-florianopolis-1137839572
27,Casa à venda no bairro Jardim Atlântico em Florianópolis,600.000,200,Casas,Venda - casa em rua pública,5 ou mais,3,2,Churrasqueira,88090540,5.085,120.000,0,718,20.0,24/01,Monte Cristo,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-a-venda-no-bairro-jardim-atlantico-em-florianopolis-1119347034
28,"Apartamento com 3 dormitórios, sendo 3 suítes à venda, 130 m² por R$ 2.917.000 - João Paul",2.970.000,130,Apartamentos,Venda - apartamento padrão,3,3,2,"Varanda, Churrasqueira, Piscina","Condomínio fechado, Piscina",25.049,594.000,0,0,13.0,24/01,Florianópolis,88030415,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-sendo-3-suites-a-venda-130-m-por-r-2-917-000-joao-paul-1137839347
29,"Excelente casa de alto padrão em Jurerê Internacional. 4 suites, 7 banheiros, garagem para",7.500.000,789,Casas,Venda - casa em rua pública,4,5 ou mais,4,"Ar condicionado, Piscina, Varanda, Churrasqueira",Piscina,63.256,1.500.000,0,0,20.0,24/01,Florianópolis,88053380,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/excelente-casa-de-alto-padrao-em-jurere-internacional-4-suites-7-banheiros-garagem-para-1137839346
30,"Apartamento com 3 dormitórios à venda, 75 m² por R$ 725.000,00 - Itacorubi - Florianópolis",725.000,75,Apartamentos,Venda - apartamento padrão,3,2,2,Condomínio fechado,88034367,6.140,145.000,0,0,18.0,24/01,Itacorubi,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-75-m-por-r-725-000-00-itacorubi-florianopolis-1137839167
31,"Casa com 3 suítes à venda, 150 m² por um valor promocional de R$ 899.000 - Campeche - Flor",899.000,150,Casas,Venda - casa em rua pública,3,3,1,"Varanda, Churrasqueira",Condomínio fechado,7.607,179.800,0,0,,24/01,Florianópolis,88065466,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-suites-a-venda-150-m-por-um-valor-promocional-de-r-899-000-campeche-flor-1137839160
32,"Apartamento à venda, 126 m² por R$ 1.625.700,00 - João Paulo - Florianópolis/SC",1.625.700,127,Apartamentos,Venda - apartamento padrão,3,4,3,"Varanda, Churrasqueira, Piscina",Piscina,13.711,325.140,0,0,20.0,24/01,Florianópolis,88030361,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-126-m-por-r-1-625-700-00-joao-paulo-florianopolis-sc-1137839039
33,"Cobertura duplex 6 suítes à venda, Jurerê Internacional, Florianópolis.",4.635.000,334,Apartamentos,Venda - apartamento cobertura,5 ou mais,5 ou mais,4,"Ar condicionado, Varanda, Churrasqueira, Piscina","Condomínio fechado, Piscina",39.092,927.000,0,0,20.0,24/01,Florianópolis,88053418,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-duplex-6-suites-a-venda-jurere-internacional-florianopolis-1137839038
34,"Casa com 3 dormitórios à venda, 132 m² por R$ 825.000,00 - Campeche - Florianópolis/SC",825.000,132,Casas,Venda - casa em rua pública,3,3,1,"Varanda, Churrasqueira",Condomínio fechado,6.983,165.000,0,0,11.0,24/01,Florianópolis,88065000,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-a-venda-132-m-por-r-825-000-00-campeche-florianopolis-sc-1137838931
35,"Apartamento com 4 dormitórios à venda, 155 m² por R$ 1.915.000,00 - Centro - Florianópolis",1.915.000,156,Apartamentos,Venda - apartamento padrão,4,5 ou mais,2,"Ar condicionado, Varanda",88015050,16.151,383.000,1.200,4.572,20.0,24/01,Centro,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-4-dormitorios-a-venda-155-m-por-r-1-915-000-00-centro-florianopolis-1137838929
36,"Cobertura com 3 dormitórios à venda, 117 m² por R$ 1.018.790,00 - Trindade - Florianópolis",1.443.000,117,Apartamentos,Venda - apartamento cobertura,3,2,3,"Ar condicionado, Varanda, Churrasqueira, Piscina",Piscina,12.195,288.600,0,0,,24/01,Florianópolis,88036150,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-117-m-por-r-1-018-790-00-trindade-florianopolis-1137834902
37,"Apartamento com 4 dormitórios à venda, 200 m² por R$ 1.550.000,00 - Centro - Florianópolis",1.550.000,201,Apartamentos,Venda - apartamento padrão,4,5 ou mais,2,Varanda,88015120,13.073,310.000,0,0,,24/01,Centro,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-4-dormitorios-a-venda-200-m-por-r-1-550-000-00-centro-florianopolis-1137834904
38,"Apartamento à venda, 109 m² por R$ 1.699.000,00 - Cacupé - Florianópolis/SC",1.699.000,110,Apartamentos,Venda - apartamento padrão,3,3,1,"Varanda, Churrasqueira, Piscina",Piscina,14.330,339.800,0,0,,24/01,Florianópolis,88050005,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-109-m-por-r-1-699-000-00-cacupe-florianopolis-sc-1137834815
39,"Apartamento à venda, 134 m² por R$ 2.683.000,00 - João Paulo - Florianópolis/SC",2.702.800,135,Apartamentos,Venda - apartamento padrão,3,3,2,"Varanda, Churrasqueira, Piscina","Condomínio fechado, Piscina",22.796,540.560,0,0,,24/01,Florianópolis,88030415,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-134-m-por-r-2-683-000-00-joao-paulo-florianopolis-sc-1137834814
40,Venda | Apartamento 2 dormitórios (1 suíte),2.740.000,102,Apartamentos,Venda - apartamento padrão,2,2,1,"Varanda, Área de serviço","Elevador, Salão de festas",23.110,548.000,1.180,1.157,20.0,24/01,Florianópolis,88015640,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/venda-apartamento-2-dormitorios-1-suite-1045510752
41,Apartamento para venda tem 93 metros quadrados com 3 quartos em Pagani - Palhoça - SC,800.000,93,Apartamentos,Venda - apartamento padrão,3,3,1,"Academia, Varanda, Churrasqueira","Condomínio fechado, Elevador, Portaria, Permitido animais, Academia, Salão de festas",6.772,160.000,0,0,16.0,24/01,Palhoça,88132149,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-tem-93-metros-quadrados-com-3-quartos-em-pagani-palhoca-sc-1111518455
42,Venda | Casa 6 suítes,5.500.000,900,Casas,Venda - casa em rua pública,5 ou mais,5 ou mais,5 ou mais,"Mobiliado, Piscina, Área de serviço, Churrasqueira",Piscina,46.388,1.100.000,0,7.499,21.0,24/01,Florianópolis,88085680,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/venda-casa-6-suites-954959822
43,"Apartamento 2 quartos no Centro, andar alto.",550.000,83,Apartamentos,Venda - apartamento padrão,2,2,1,"Varanda, Área de serviço","Elevador, Salão de festas",4.664,110.000,867,3.114,20.0,24/01,Florianópolis,88010300,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-quartos-no-centro-andar-alto-1042500751
44,Casa para venda tem 480 metros quadrados com 3 quartos em Centro - Palhoça - SC,2.800.000,480,Casas,Venda - casa em rua pública,3,4,4,"Ar condicionado, Mobiliado, Piscina, Churrasqueira","Permitido animais, Piscina",23.616,560.000,0,0,18.0,24/01,Palhoça,88130970,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-venda-tem-480-metros-quadrados-com-3-quartos-em-centro-palhoca-sc-1075703630
45,Casa 3 dormitórios mobiliada em condomínio fechado pé na areia Santo Antônio de Lisboa,2.501.000,176,Casas,Venda - casa em condominio fechado,3,3,2,88050300,Florianópolis,21.094,500.200,1.700,600,20.0,24/01,Estrada Caminho dos Açores,Santo Antônio de Lisboa,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-3-dormitorios-mobiliada-em-condominio-fechado-pe-na-areia-santo-antonio-de-lisboa-1035037747
46,Cobertura com 4 vagas de garagem e piscina privativa,2.600.000,417,Apartamentos,Venda - apartamento cobertura,3,4,4,"Ar condicionado, Mobiliado, Churrasqueira, Piscina",Piscina,21.929,520.000,1.000,1,,24/01,Florianópolis,88075110,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-4-vagas-de-garagem-e-piscina-privativa-1119434134
47,Apartamento no bairro Balneário dos Açores em Florianópolis,750.000,72,Apartamentos,Venda - apartamento padrão,2,2,1,88067350,Florianópolis,6.351,150.000,0,0,20.0,24/01,Avenida das Águas Marinhas,Pântano do Sul,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-no-bairro-balneario-dos-acores-em-florianopolis-1107684772
48,Novo - Excelente Localização,380.000,64,Apartamentos,Venda - apartamento padrão,2,2,1,"Armários na cozinha, Academia, Varanda, Área de serviço, Churrasqueira, Piscina","Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas",3.230,76.000,500,1.700,21.0,24/01,São José,88103310,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/novo-excelente-localizacao-1137808178
49,Apartamento de 3 dormitorios a venda Itacorubi,850.000,93,Apartamentos,Venda - apartamento padrão,3,2,2,Ar condicionado,Salão de festas,7.194,170.000,594,1.043,20.0,24/01,Florianópolis,88034102,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-3-dormitorios-a-venda-itacorubi-1111976879
50,"C- Casa de 03 dormitórios, sendo 01 suíte no Jardim Atlântico, Florianópolis/SC",800.000,200,Casas,Venda - casa em rua pública,3,2,3,Área de serviço,Permitido animais,6.772,160.000,0,1,20.0,24/01,Florianópolis,88095750,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/c-casa-de-03-dormitorios-sendo-01-suite-no-jardim-atlantico-florianopolis-sc-1072171012
51,Florianópolis - Apartamento Padrão - Itacorubi,1.087.000,96,Apartamentos,Venda - apartamento padrão,3,3,2,88034001,Florianópolis,9.193,217.400,550,1.000,19.0,24/01,Rodovia Admar Gonzaga - de 2026/2027 a 3787/3788,Itacorubi,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-itacorubi-1016263819
52,Casa Fazenda Santo Antônio,182.500,80,Casas,Venda - casa em rua pública,3,2,2,88104555,São José,1.564,36.500,0,450,14.0,24/01,Rua Angélica Martins da Rosa,Fazenda Santo Antônio,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-fazenda-santo-antonio-996296791
53,Apartamento Canasvieiras,780.000,76,Apartamentos,Venda - apartamento padrão,2,2,2,88054150,Florianópolis,6.604,156.000,350,300,20.0,24/01,Rua dos Eucaliptos,Canasvieiras,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-canasvieiras-1047468334
54,"Apartamento para Venda em Florianópolis, Ingleses do Rio Vermelho, 2 dormitórios, 2 suítes",950.000,84,Apartamentos,Venda - apartamento padrão,2,2,1,"Academia, Varanda, Churrasqueira, Piscina","Condomínio fechado, Elevador, Academia, Piscina, Salão de festas",8.037,190.000,500,2.000,21.0,24/01,Florianópolis,88058573,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-em-florianopolis-ingleses-do-rio-vermelho-2-dormitorios-2-suites-1098711751
55,Apartamento na Pedra Branca,636.000,91,Apartamentos,Venda - apartamento padrão,2,3,1,"Mobiliado, Academia, Área de serviço, Churrasqueira, Piscina","Elevador, Academia, Piscina, Salão de festas",5.389,127.200,417,470,21.0,24/01,Palhoça,88137270,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-na-pedra-branca-1105057202
56,FLORIANóPOLIS - Casa de Condomínio - Córrego Grande,3.350.000,669,Casas,Venda - casa em condominio fechado,4,5 ou mais,2,"Armários na cozinha, Área de serviço",88037465,28.254,670.000,1.490,210,21.0,24/01,Córrego Grande,Florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-de-condominio-corrego-grande-1044086199
57,Apartamento para venda com 72 metros quadrados com 2 quartos em Areias - São José - SC,319.000,72,Apartamentos,Venda - apartamento padrão,2,2,1,"Condomínio fechado, Elevador, Permitido animais",88113865,2.715,63.800,250,500,20.0,24/01,Areias,São José,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-72-metros-quadrados-com-2-quartos-em-areias-sao-jose-sc-1137781158
58,"Apartamento à Venda com 02 dormitórios, sendo 01 suíte em Palhoça",247.000,67,Apartamentos,Venda - apartamento padrão,2,2,1,Churrasqueira,88131573,2.108,49.400,0,460,12.0,24/01,Nova Palhoça,Palhoça,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-com-02-dormitorios-sendo-01-suite-em-palhoca-1124862596
59,"Apartamento 2 Dormotórios, 1 Vaga - Barreiros",245.000,56,Apartamentos,Venda - apartamento padrão,2,1,1,"Armários na cozinha, Ar condicionado","Elevador, Condomínio fechado, Salão de festas",2.091,49.000,240,0,15.0,24/01,São José,88117020,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-dormotorios-1-vaga-barreiros-1102001395
60,"Apartamento semi mobiliado 02 dormitórios 63,15 m²",215.000,63,Apartamentos,Venda - apartamento padrão,2,1,2,"Ar condicionado, Área de serviço",88161528,1.838,43.000,100,236,20.0,24/01,Fundos,Biguaçu,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-semi-mobiliado-02-dormitorios-63-15-m-1119245206
61,Apartamento com 2 dormitórios sendo um suíte no Naval Residence- Estreito - Florianópolis/,700.000,80,Apartamentos,Venda - apartamento padrão,2,2,1,"Ar condicionado, Academia, Varanda, Churrasqueira, Piscina","Elevador, Academia, Piscina, Salão de festas",5.929,140.000,494,800,20.0,24/01,Florianópolis,88095152,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-sendo-um-suite-no-naval-residence-estreito-florianopolis-1119436760
62,Apartamento para venda com 2 quartos no Jardim Eldorado - Palhoça - SC,385.000,74,Apartamentos,Venda - apartamento padrão,2,2,1,"Ar condicionado, Varanda, Área de serviço, Churrasqueira","Condomínio fechado, Elevador, Portaria, Permitido animais, Salão de festas",3.272,77.000,450,700,20.0,24/01,Palhoça,88133430,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-venda-com-2-quartos-no-jardim-eldorado-palhoca-sc-1080188058
63,"Apartamento com 2 dormitórios à venda, 97 m² por R$ 2.241.394,00 - Jurerê - Florianópolis/",2.241.394,97,Apartamentos,Venda - apartamento padrão,2,2,2,"Ar condicionado, Mobiliado, Churrasqueira, Piscina","Elevador, Piscina, Salão de festas",18.904,448.279,0,0,20.0,24/01,Florianópolis,88053750,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-97-m-por-r-2-241-394-00-jurere-florianopolis-1084634601
64,Apartamento de 2 quartos no DeltaVille - Biguaçu - SC,269.900,58,Apartamentos,Venda - apartamento padrão,2,1,1,"Varanda, Área de serviço, Churrasqueira","Condomínio fechado, Elevador, Permitido animais, Salão de festas",2.301,53.980,380,0,20.0,24/01,Biguaçu,88164240,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-quartos-no-deltaville-biguacu-sc-1112455232
65,"Sobrado para Venda em Palhoça, Praia do Sonho, 2 dormitórios, 2 banheiros, 1 vaga",465.000,68,Casas,Venda - casa em rua pública,2,2,1,"Varanda, Churrasqueira",88139173,3.947,93.000,0,0,14.0,24/01,Praia do Sonho,Palhoça,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sobrado-para-venda-em-palhoca-praia-do-sonho-2-dormitorios-2-banheiros-1-vaga-1137751933
66,"Apartamento à venda, 56 m² por R$ 300.000,00 - Cidade Universitária Pedra Branca - Palhoça",300.000,56,Apartamentos,Venda - apartamento padrão,2,2,1,"Varanda, Área de serviço, Churrasqueira, Piscina","Elevador, Piscina",2.555,60.000,0,0,18.0,24/01,Palhoça,88137010,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-a-venda-56-m-por-r-300-000-00-cidade-universitaria-pedra-branca-palhoca-1050845717
67,"Cobertura a Venda no Centro de Florianópolis, SC",1.590.000,221,Apartamentos,Venda - apartamento cobertura,3,2,2,"Ar condicionado, Varanda, Área de serviço, Churrasqueira, Piscina","Piscina, Salão de festas",13.410,318.000,1.391,5.552,20.0,24/01,Florianópolis,88015415,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-a-venda-no-centro-de-florianopolis-sc-1032658882
