NOME,VALOR,AREA,CATEGORIA,QUARTOS,BANHEIROS,VAGAS,CONDOMINIO,IPTU,IMAGENS,DATA_ANUNCIO,PROFISSIONAL,LOCALIZACAO,link
Apartamento / Aluguel / Pedra Branca,R$ 2.500,82 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 270,IPTU R$ 500,11,"Hoje, 15:16",Profissional,Santo Amaro da Imperatriz,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-aluguel-pedra-branca-1152796595
"Casa para Locação em Florianópolis, Jurerê Internacional, 3 dormitórios, 3 suítes, 5 banhe",R$ 15.000,330 metros quadrados,Casa para alugar,3 quartos,,5 ou mais banheiros,,,11,"Hoje, 15:16",Profissional,"Florianópolis, Jurerê",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-locacao-em-florianopolis-jurere-internacional-3-dormitorios-3-suites-5-banhe-1139600340
"Apartamento para Temporada em Palhoça, PRAIA DO SONHO, 2 dormitórios, 1 suíte, 2 banheiros",R$ 500,82 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,2 vagas de garagem,,,11,"Hoje, 15:14",Profissional,"Palhoça, Praia do Sonho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-temporada-em-palhoca-praia-do-sonho-2-dormitorios-1-suite-2-banheiros-1119470171
Apartamento de 3 quartos para alugar no bairro Centro,R$ 1.650,70 metros quadrados,Apartamento para alugar,3 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 200,IPTU R$ 5,11,"Hoje, 15:11",Profissional,"Palhoça, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-3-quartos-para-alugar-no-bairro-centro-1152794553
SãO JOSé - Casa Padrão - Kobrasol,R$ 4.100,5 ou mais vagas de garagem,Casa para alugar,100 metros quadrados,,2 banheiros,,IPTU R$ 331,11,"Hoje, 15:05",Profissional,"São José, Kobrasol",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-casa-padrao-kobrasol-1139484178
"Casa em Ingleses, com terreno de 530m², com Edícula, Florianópolis-SC.",R$ 5.500,130 metros quadrados,Casa para alugar,3 quartos,1 banheiro,3 vagas de garagem,,,11,"Hoje, 15:04",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-em-ingleses-com-terreno-de-530m-com-edicula-florianopolis-sc-1115946626
"Casa com 3 dormitórios, 279 m² - venda por R$ 2.850.000,00 ou aluguel por R$ 12.102,66/mês",R$ 10.000,279 metros quadrados,Casa para alugar,3 quartos,4 banheiros,4 vagas de garagem,Condomínio R$ 1.920,IPTU R$ 183,11,"Hoje, 15:00",Profissional,"Florianópolis, Carvoeira",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-279-m-venda-por-r-2-850-000-00-ou-aluguel-por-r-12-102-66-mes-1142684466
Aluguel | Apartamento 2 dormitórios (1 suíte),R$ 3.999,68 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,,Condomínio R$ 700,11,"Hoje, 14:57",Profissional,"Florianópolis, Jardim Atlântico",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-apartamento-2-dormitorios-1-suite-1140669930
Alugo Casa,R$ 1.000,1 vaga de garagem,Casa para alugar,2 quartos,,1 banheiro,,,11,"Hoje, 14:56",,"Palhoça, Bela Vista",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casa-1152783073
Ap 01 quarto 900 m da UNISUL Pedra Branca,R$ 830,27 metros quadrados,Apartamento para alugar,1 quarto,,1 banheiro,,,11,"Hoje, 14:51",,"Palhoça, Jardim Eldorado",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/ap-01-quarto-900-m-da-unisul-pedra-branca-1152780288
COBERTURA COM 2 QUARTOS (1 SUÍTE) NO BAIRRO CARVOEIRA!,R$ 2.800,82 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,2 vagas de garagem,Condomínio R$ 603,IPTU R$ 90,11,"Hoje, 14:50",Profissional,"Florianópolis, Carvoeira",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-com-2-quartos-1-suite-no-bairro-carvoeira-1069769783
Apartamento de 2 quartos para alugar no bairro Córrego Grande,R$ 4.300,82 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 568,IPTU R$ 195,11,"Hoje, 14:49",Profissional,"Florianópolis, Córrego Grande",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-quartos-para-alugar-no-bairro-corrego-grande-1152779586
Casa Residencial no Santa Mônica,R$ 6.800,354 metros quadrados,Casa para alugar,3 quartos,3 banheiros,2 vagas de garagem,,IPTU R$ 140,11,"Hoje, 14:42",Profissional,"Florianópolis, Córrego Grande",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-no-santa-monica-1152776508
Lindo apartamento a 50m do mar em Ingleses Norte em aluguel mensal a partir de março,R$ 1.800,75 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 600,IPTU R$ 900,11,"Hoje, 14:39",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/lindo-apartamento-a-50m-do-mar-em-ingleses-norte-em-aluguel-mensal-a-partir-de-marco-1077620179
SãO JOSé - Apartamento Padrão - Campinas,R$ 1.600,46 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 430,IPTU R$ 86,11,"Hoje, 14:35",Profissional,"São José, Campinas",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-campinas-1148836868
"Apartamento 2 quartos, em ótima localização nos Ingleses",R$ 1.800,60 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,,11,"Hoje, 14:31",,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-quartos-em-otima-localizacao-nos-ingleses-1143112710
Suíte tipo loft toda equipada na Lagoa,R$ 2.150,37 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,Condomínio R$ 350,11,"Hoje, 14:30",Profissional,"Florianópolis, Lagoa da Conceição",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/suite-tipo-loft-toda-equipada-na-lagoa-1134809003
Kitnet 2 quartos Pantanal ,R$ 1.500,1 vaga de garagem,Casa para alugar,2 quartos,,1 banheiro,,,11,"Hoje, 14:26",,"Florianópolis, Pantanal",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/kitnet-2-quartos-pantanal-1152766815
Apartamento de 2 quartos para alugar no bairro Estreito,R$ 1.700,43 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 459,IPTU R$ 109,11,"Hoje, 14:20",Profissional,"Florianópolis, Jardim Atlântico",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-quartos-para-alugar-no-bairro-estreito-1152764135
Apartamento de 3 quartos para alugar no bairro Kobrasol,R$ 2.850,97 metros quadrados,Apartamento para alugar,3 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 600,IPTU R$ 103,11,"Hoje, 14:15",Profissional,"São José, Kobrasol",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-3-quartos-para-alugar-no-bairro-kobrasol-1152759223
"Casa para locação temporada, Jurerê Internacional, Florianópolis - .",R$ 5.500,300 metros quadrados,Casa para alugar,5 ou mais quartos,5 ou mais banheiros,4 vagas de garagem,,,11,"Hoje, 14:14",Profissional,"Florianópolis, Jurerê Internacional",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-locacao-temporada-jurere-internacional-florianopolis-985998044
"Casa com 3 dormitórios, 148 m² - venda por R$ 1.620.000,00 ou aluguel por R$ 7.100,00/mês ",R$ 7.000,148 metros quadrados,Casa para alugar,3 quartos,1 banheiro,2 vagas de garagem,,IPTU R$ 100,11,"Hoje, 14:09",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-148-m-venda-por-r-1-620-000-00-ou-aluguel-por-r-7-100-00-mes-1070714605
"COBERTURA 1 dormitório, ampla vista do mar, em canasvieiras - Florianópolis - SC",R$ 400,45 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,,11,"Hoje, 14:09",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/cobertura-1-dormitorio-ampla-vista-do-mar-em-canasvieiras-florianopolis-sc-1148336433
Apartamento BIGUAÇU SC,R$ 1.100,43 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 287,IPTU R$ 60,11,"Hoje, 14:09",Profissional,"Biguaçu, Morro da Bina",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-biguacu-sc-1141730771
Apartamento BIGUAÇU SC,R$ 1.100,43 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 287,IPTU R$ 60,20,"Hoje, 14:09",Profissional,"Biguaçu, Morro da Bina",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-biguacu-sc-1141730771
"Casa Residencial com 4 quartos para alugar por R$ 13000.00, 271.73 m2 - SANTO ANTONIO DE L",R$ 13.000,272 metros quadrados,Casa para alugar,4 quartos,2 banheiros,2 vagas de garagem,Condomínio R$ 1.184,IPTU R$ 243,20,"Hoje, 14:07",Profissional,"Florianópolis, Santo Antônio de Lisboa",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-com-4-quartos-para-alugar-por-r-13000-00-271-73-m2-santo-antonio-de-l-1148366917
Kitinete bairro floresta são josé,R$ 750,1 banheiro,Casa para alugar,1 quarto,,,,,20,"Hoje, 14:07",,"São José, Nossa Senhora do Rosário",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/kitinete-bairro-floresta-sao-jose-1152756338
Maravilhosa cobertura bairro Campeche em Florianópolis com aproximadamente 160m² de área p,R$ 7.300,160 metros quadrados,Apartamento para alugar,3 quartos,3 banheiros,2 vagas de garagem,Condomínio R$ 1.300,IPTU R$ 390,20,"Hoje, 14:06",Profissional,"Florianópolis, Cachoeira do Bom Jesus",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/maravilhosa-cobertura-bairro-campeche-em-florianopolis-com-aproximadamente-160m-de-area-p-1140569526
Apartamento - Florianópolis SC,R$ 400,40 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,,20,"Hoje, 14:03",Profissional,"Florianópolis, Lagoa da Conceição",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-florianopolis-sc-993017398
Casa para aluguel tem 90 metros quadrados com 2 quartos em Pântano do Sul - Florianópolis ,R$ 2.000,90 metros quadrados,Casa para alugar,2 quartos,,1 banheiro,,,20,"Hoje, 14:00",Profissional,"Florianópolis, Pântano do Sul",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-tem-90-metros-quadrados-com-2-quartos-em-pantano-do-sul-florianopolis-1138918318
"Casa com 3 dormitórios para alugar, 160 m² por R$ 6.700/mês - Campeche - Florianópolis/SC",R$ 6.700,160 metros quadrados,Casa para alugar,3 quartos,3 banheiros,2 vagas de garagem,,IPTU R$ 50,20,"Hoje, 13:56",Profissional,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-3-dormitorios-para-alugar-160-m-por-r-6-700-mes-campeche-florianopolis-sc-1058803002
Alugo quarto em minha residência ,R$ 890,,,,,,,,20,"Hoje, 13:50",,"Florianópolis, Saco dos Limões",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-quarto-em-minha-residencia-1152746419
Apartamento centro Travessa Ratcliff,R$ 1.500,1 banheiro,Apartamento para alugar,1 quarto,,,,IPTU R$ 100,20,"Hoje, 13:48",,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-centro-travessa-ratcliff-1152745374
"Apartamento para Aluguel - Ingleses, 1 Quarto,  90 m2",R$ 2.000,90 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,Condomínio R$ 150,20,"Hoje, 13:47",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-ingleses-1-quarto-90-m2-1152745337
"TEMPORADA, 4 dormitórios, livre de 25.01 em diante - Canasvieiras - Florianópolis - SC",R$ 600,215 metros quadrados,Casa para alugar,4 quartos,4 banheiros,4 vagas de garagem,,,20,"Hoje, 13:47",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/temporada-4-dormitorios-livre-de-25-01-em-diante-canasvieiras-florianopolis-sc-1057562155
"Aluguel para temporada, perto da praia, casa ampla, centro da Pinheira , férias, praia da ",R$ 400,80 metros quadrados,Casa para alugar,2 quartos,2 banheiros,2 vagas de garagem,,,20,"Hoje, 13:47",Profissional,"Palhoça, Pinheira",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-para-temporada-perto-da-praia-casa-ampla-centro-da-pinheira-ferias-praia-da-1096567905
FLORIANóPOLIS - Studio - Centro,R$ 6.365,60 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,Condomínio R$ 750,IPTU R$ 225,20,"Hoje, 13:42",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-studio-centro-1044089132
Apartamento mobiliado ,R$ 3.500,100 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,,,20,"Hoje, 13:40",,"Florianópolis, Campeche",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-mobiliado-1152741978
"Casa para Aluguel - Ingleses, 2 Quartos,  80 m2",R$ 4.070,80 metros quadrados,Casa para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 1.664,IPTU R$ 139,20,"Hoje, 13:35",Profissional,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-ingleses-2-quartos-80-m2-1152736978
ROYAL RESIDENCE CANASVIEIRAS,R$ 250,75 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 13:30",Profissional,"Florianópolis, Canasvieiras",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/royal-residence-canasvieiras-995263892
CASA JURERE INTERNACIONAL 4 SUÍTES,R$ 1.400,300 metros quadrados,Casa para alugar,4 quartos,5 ou mais banheiros,3 vagas de garagem,,,20,"Hoje, 13:30",Profissional,"Florianópolis, Jurerê",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-jurere-internacional-4-suites-995264570
"Apartamento 2 dormitórios para alugar, 70m², Estreito - Florianópolis",R$ 1.600,70 metros quadrados,Apartamento para alugar,2 quartos,1 banheiro,1 vaga de garagem,Condomínio R$ 415,IPTU R$ 90,20,"Hoje, 13:29",Profissional,"Florianópolis, Canto",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-dormitorios-para-alugar-70m-estreito-florianopolis-1148115874
Apartamento para aluguel tem 55 metros quadrados com 1 quarto,R$ 1.350,55 metros quadrados,Apartamento para alugar,1 quarto,1 banheiro,1 vaga de garagem,,,20,"Hoje, 13:27",Profissional,"São José, Fazenda Santo Antônio",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-aluguel-tem-55-metros-quadrados-com-1-quarto-1142326212
AP 2 Quartos  terreo Anual ,R$ 1.650,55 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,,,20,"Hoje, 13:26",,"Florianópolis, Ingleses do Rio Vermelho",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/ap-2-quartos-terreo-anual-1152733672
FLORIANóPOLIS - Kitchenette/Conjugados - Jardim Atlântico,R$ 1.000,27 metros quadrados,Apartamento para alugar,1 quarto,,1 banheiro,Condomínio R$ 440,IPTU R$ 25,20,"Hoje, 13:23",Profissional,"Florianópolis, Jardim Atlântico",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-kitchenette-conjugados-jardim-atlantico-1111909480
Centro | 2 dorms (1 suíte) | Top vision,R$ 4.250,68 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 800,IPTU R$ 200,20,"Hoje, 13:21",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/centro-2-dorms-1-suite-top-vision-1148855916
Centro | Top Vision | 2 dormitórios ( 1 suíte),R$ 4.000,68 metros quadrados,Apartamento para alugar,2 quartos,2 banheiros,1 vaga de garagem,Condomínio R$ 800,IPTU R$ 200,20,"Hoje, 13:21",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/centro-top-vision-2-dormitorios-1-suite-1140670745
APARTAMENTO 3 SUITES PARA LOCAÇÃO,R$ 12.500,271 metros quadrados,Apartamento para alugar,3 quartos,5 ou mais banheiros,4 vagas de garagem,Condomínio R$ 1.200,IPTU R$ 1.390,20,"Hoje, 13:17",Profissional,"Florianópolis, Centro",https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-3-suites-para-locacao-1144182571
